county.name,cases,date,state.name
Bandera,1,8/22/2017,texas
Bastrop,1,8/22/2017,texas
Bell,2,8/22/2017,texas
Bexar,35,8/22/2017,texas
Bowie,1,8/22/2017,texas
Brazoria,2,8/22/2017,texas
Brazos,1,8/22/2017,texas
Cameron,1,8/22/2017,texas
Collin,7,8/22/2017,texas
Comal,3,8/22/2017,texas
Cooke,1,8/22/2017,texas
Coryell,2,8/22/2017,texas
Dallas,13,8/22/2017,texas
Denton,9,8/22/2017,texas
Erath,1,8/22/2017,texas
Fort Bend,12,8/22/2017,texas
Freestone,1,8/22/2017,texas
Galveston,3,8/22/2017,texas
Gillespie,1,8/22/2017,texas
Gregg,1,8/22/2017,texas
Guadalupe,1,8/22/2017,texas
Harris,66,8/22/2017,texas
Hays,2,8/22/2017,texas
Hidalgo,3,8/22/2017,texas
Hood,1,8/22/2017,texas
Hunt,1,8/22/2017,texas
Johnson,3,8/22/2017,texas
Kaufman,1,8/22/2017,texas
Kendall,3,8/22/2017,texas
Lavaca,1,8/22/2017,texas
Maverick,2,8/22/2017,texas
Midland,2,8/22/2017,texas
Montague,1,8/22/2017,texas
Montgomery,7,8/22/2017,texas
Palo Pinto,1,8/22/2017,texas
Panola,1,8/22/2017,texas
Parker,3,8/22/2017,texas
Rains,1,8/22/2017,texas
Red River,1,8/22/2017,texas
Tarrant,20,8/22/2017,texas
Throckmorton,1,8/22/2017,texas
Travis,23,8/22/2017,texas
Walker,1,8/22/2017,texas
Washington,1,8/22/2017,texas
Williamson,8,8/22/2017,texas
Wilson,1,8/22/2017,texas
Wood,1,8/22/2017,texas
Bandera,,8/2/2017,texas
Bastrop,1,8/2/2017,texas
Bell,1,8/2/2017,texas
Bexar,23,8/2/2017,texas
Bowie,,8/2/2017,texas
Brazoria,1,8/2/2017,texas
Brazos,1,8/2/2017,texas
Cameron,1,8/2/2017,texas
Collin,2,8/2/2017,texas
Comal,2,8/2/2017,texas
Cooke,1,8/2/2017,texas
Coryell,2,8/2/2017,texas
Dallas,10,8/2/2017,texas
Denton,7,8/2/2017,texas
Erath,1,8/2/2017,texas
Fort Bend,7,8/2/2017,texas
Freestone,1,8/2/2017,texas
Galveston,3,8/2/2017,texas
Gillespie,,8/2/2017,texas
Gregg,,8/2/2017,texas
Guadalupe,1,8/2/2017,texas
Harris,42,8/2/2017,texas
Hays,1,8/2/2017,texas
Hidalgo,2,8/2/2017,texas
Hood,1,8/2/2017,texas
Hunt,,8/2/2017,texas
Johnson,1,8/2/2017,texas
Kaufman,1,8/2/2017,texas
Kendall,2,8/2/2017,texas
Lavaca,1,8/2/2017,texas
Maverick,1,8/2/2017,texas
Midland,1,8/2/2017,texas
Montague,1,8/2/2017,texas
Montgomery,4,8/2/2017,texas
Palo Pinto,1,8/2/2017,texas
Panola,,8/2/2017,texas
Parker,2,8/2/2017,texas
Rains,,8/2/2017,texas
Red River,,8/2/2017,texas
Tarrant,14,8/2/2017,texas
Throckmorton,1,8/2/2017,texas
Travis,10,8/2/2017,texas
Walker,1,8/2/2017,texas
Washington,1,8/2/2017,texas
Williamson,3,8/2/2017,texas
Wilson,1,8/2/2017,texas
Wood,,8/2/2017,texas
